id;category;model;time_total;time_read;time_write;input_tokens;output_tokens;tps_read;tps_write;question;model_answer;ground_truth;context_snippet;score
1115;Out-of-Domain;gpt-5-mini;7.126;0.0;0.0;453;16;0.0;2.25;Wie viele Punkte bekommt man für den 'Fantasy Football' Score bei einem Touchdown?;Dazu habe ich keine Informationen.;Dazu habe ich keine Informationen.;"SECTION 2 TOUCHDOWN
ARTICLE 1. TOUCHDOWN PLAYS. A ...";1.0
202;Information Retrieval;gemini-3-flash-preview;12.843;0.0;0.0;390;23;0.0;1.79;Wie viele Bälle muss jedes Team vor dem Spiel für den Referee zum Testen bereitstellen?;Jedes Team muss 12 primary, 12 backup und drei speziell markierte kicking balls bereitstellen.;Insgesamt 27 Bälle: 12 primäre Bälle, 12 Ersatzbälle (Backup) und 3 speziell markierte Kicking-Bälle.;"SECTION 2 SUPPLY
Each team will make 12 primary, 1...";0.5
1105;Reasoning & Synthesis;gemini-3-flash-preview;126.087;0.0;0.0;470;7;0.0;0.06;Muss der ganze Ball über der Endzonenlinie sein, damit es ein Touchdown ist?;Dazu habe ich keine Informationen.;Nein. Es reicht, wenn ein beliebiger Teil des Balls die vertikale Ebene der Goal Line (Plane of the Goal Line) durchbricht, während der Spieler Ballkontrolle hat.;"SECTION 2 TOUCHDOWN
ARTICLE 1. TOUCHDOWN PLAYS. A ...";0.0
610;Out-of-Domain;gpt-5-mini;10.043;0.0;0.0;3102;16;0.0;1.59;Dürfen Cheerleader das Feld betreten, während der Kicker sich beim Timeout aufwärmt?;Dazu habe ich keine Informationen.;Dazu habe ich keine Informationen.;"SECTION 1 PROCEDURES FOR A FREE KICK
ARTICLE 1. FR...";1.0
605;Regulatory Constraints;gpt-5-mini;8.276;0.0;0.0;3102;16;0.0;1.93;Dürfen 2 Spieler des Receiving Teams einen gegnerischen Spieler beim Kickoff gemeinsam blocken?;Dazu habe ich keine Informationen.;Ja ein Double-Team Block ist unter bestimmten Voraussetzung erlaubt. Beide Blocker müssen sich in der Setup-Zone beim Kick aufstellen und den zu blockenden Spieler zeitgleich kontaktieren. Weiterer Spieler darf nicht am Blocken teilnehmen.;"SECTION 1 PROCEDURES FOR A FREE KICK
ARTICLE 1. FR...";0.0
1105;Reasoning & Synthesis;llama3.3:70b;34.404;0.821;1.08;491;33;598.38;30.57;Muss der ganze Ball über der Endzonenlinie sein, damit es ein Touchdown ist?;Nein, es muss nur ein Teil des Balls auf, über oder hinter der Linie der Endzone sein, um einen Touchdown zu erzielen.;Nein. Es reicht, wenn ein beliebiger Teil des Balls die vertikale Ebene der Goal Line (Plane of the Goal Line) durchbricht, während der Spieler Ballkontrolle hat.;"SECTION 2 TOUCHDOWN
ARTICLE 1. TOUCHDOWN PLAYS. A ...";1.0
1110;Regulatory Constraints;llama3.1:8b;7.35;0.49;0.07;1456;8;2970.54;114.86;Kann man bei einem Extrapunktversuch, wenn man den Extrapunkt blockt und den Ball in die gegnerische Endzone trägt, einen 6 Punkte Touchdown erzielen?;Dazu habe ich keine Informationen.;Nein, wenn eines der beiden Teams bei dem Extrapunktversuch ein Touchdown erzielt, werden nur 2 Punkte an das Team vergeben, keine 6 Punkte.;"SECTION 3 TRY
ARTICLE 1. GENERAL RULES. After a to...";0.0
1301;Out-of-Domain;llama3.3:70b;1.519;1.015;0.336;1532;8;1508.93;23.8;Darf das Team-Maskottchen in der Halbzeitpause Tackles gegen Zuschauer üben?;Dazu habe ich keine Informationen.;Dazu habe ich keine Informationen.;"SECTION 1 NON-PLAYER CONDUCT
ARTICLE 1. NON-PLAYER...";1.0
106;Information Retrieval;llama3.3:70b;16.696;0.779;0.597;435;18;558.76;30.18;Welche Farbe müssen die Torpfosten haben?;Die Torpfosten müssen hellgold (bright gold) gefärbt sein.;Die Torpfosten müssen in hellem Gold gestrichen sein.;"SECTION 3 GOAL
ARTICLE 1. CROSSBAR. In the plane o...";1.0
802;Reasoning & Synthesis;llama3.3:70b;4.783;1.733;2.269;2383;68;1374.9;29.97;Was bedeutet es, dass ein Spieler sich re-etablieren muss, nachdem er out of bounds gelaufen ist?;Ein Spieler muss sich re-etablieren, indem er mit beiden Füßen oder einem anderen Körperteil (außer den Händen) inbounds den Boden berührt, bevor er einen Pass fangen kann. Er muss auch ohne vorheriges Berühren des Balles inbounds sein.;Er muss sich 're-establish'en. Das heißt, er muss mit beiden Füßen (oder einem Körperteil) wieder im Spielfeld landen, bevor er legal den Ball berühren darf.;"SECTION 1 FORWARD PASS
ARTICLE 1. DEFINITION. It i...";1.0
808;Reasoning & Synthesis;gpt-5-mini;1.03;0.0;0.0;1301;16;0.0;15.53;Bei einer offensiven pass interference, wird der Ball beim ort des foul weitergespielt, richtig?;Dazu habe ich keine Informationen.;Nein. Offensive Pass Interference ist kein Spot Foul. Es gibt 10 Yards Strafe vom Previous Spot (vorherigen Startpunkt).;"SECTION 5 PASS INTERFERENCE
ARTICLE 1. DEFINITION....";0.0
1108;Information Retrieval;llama3.3:70b;18.289;1.106;2.184;864;67;781.2;30.68;Was ist ein Touchback?;Ein Touchback liegt vor, wenn der Ball tot auf oder hinter der Torlinie eines Teams ist, das verteidigt, vorausgesetzt, dass der Anstoß von einem Gegner kommt und es sich nicht um einen Touchdown oder einen unvollständigen Vorwärtspass handelt.;Eine Situation, bei der der Ball in der Endzone 'tot' wird (z.B. durch Kickoff oder Interception) und das verteidigende Team den Ballbesitz erhält, normalerweise an der 20- oder 30-Yard-Line.;"SECTION 6 TOUCHBACK
ARTICLE 1. DEFINITION. It is a...";1.0
705;Reasoning & Synthesis;llama3.3:70b;26.403;1.856;2.309;2039;71;1098.48;30.75;Ein Ballträger läuft ins Aus. Was gilt als Startpunkt für den nächsten Spielzug: Wo der Ball war oder wo der Ballträger war?;Der Ball wird an der Stelle platziert, wo der Ballträger das Spielfeld verlassen hat, also wo er aus den Grenzen des Spielfelds getreten ist. Der Startpunkt für den nächsten Spielzug ist somit die Stelle, an der der Ballträger ins Aus gelaufen ist.;Der Spot ist dort, wo sich der Ball befand, genau in dem Moment, als der Ballträger mit einem Fuß oder einem anderem Körperteil die Seitenlinie berührte.;"SECTION 1 BALL IN PLAY
ARTICLE 1. LIVE BALL. After...";1.0
603;Reasoning & Synthesis;llama3.3:70b;24.602;1.985;3.043;2063;95;1039.15;31.21;Was passiert, wenn der Ball beim Kickoff out of bounds landet?;Wenn der Ball beim Kickoff out of bounds landet, darf die empfangende Mannschaft entscheiden, ob sie den Ball 25 Yards vom Ort des Kicks an der Inbounds-Linie auf der Seite des Feldes, wo der Ball aus dem Spiel ging, übernehmen möchte, oder am Ort, wo der Ball aus dem Spiel ging, oder am Ort, wo der Ball landet, wenn dies weniger als 25 Yards ist.;Das ist ein Foul. Wenn ein Kickoff oder Onside Kick versucht wurde darf die Offense wählen ob: der Ball am Spot des Fouls, oder 25 Yards vor dem Kick-Punkt. Wenn ein Saftey Kick versucht wurde sind es 30 Yards.;"SECTION 2 OTHER FREE KICK FOULS
ARTICLE 1. BLOCKIN...";1.0
1105;Reasoning & Synthesis;gpt-5-mini;9.615;0.0;0.0;456;16;0.0;1.66;Muss der ganze Ball über der Endzonenlinie sein, damit es ein Touchdown ist?;Dazu habe ich keine Informationen.;Nein. Es reicht, wenn ein beliebiger Teil des Balls die vertikale Ebene der Goal Line (Plane of the Goal Line) durchbricht, während der Spieler Ballkontrolle hat.;"SECTION 2 TOUCHDOWN
ARTICLE 1. TOUCHDOWN PLAYS. A ...";0.0
1701;Out-of-Domain;llama3.3:70b;2.388;0.981;0.329;1499;8;1528.58;24.32;Wird das Spiel wegen eines Notfalls abgebrochen, wenn das Catering für die VIP-Logen ausfällt?;Dazu habe ich keine Informationen.;Dazu habe ich keine Informationen.;"SECTION 1 EMERGENCIES
ARTICLE 1. NON-PLAYER ON FIE...";1.0
1001;Out-of-Domain;gemini-3-flash-preview;4.969;0.0;0.0;738;7;0.0;1.41;Wie hoch ist die Geldstrafe in Dollar, die ein Spieler an die Liga zahlen muss, wenn er disqualifiziert wird?;Dazu habe ich keine Informationen.;Dazu habe ich keine Informationen.;"SECTION 1 OPPORTUNITY TO CATCH A KICK
ARTICLE 1. I...";1.0
107;Out-of-Domain;gpt-5-mini;8.035;0.0;0.0;704;16;0.0;1.99;Wie viel kostet der Rasen, der für das Spielfeld verwendet wird?;Dazu habe ich keine Informationen.;Dazu habe ich keine Informationen.;"SECTION 1 DIMENSIONS
ARTICLE 1. PLAYING LINES. The...";1.0
610;Out-of-Domain;gemini-3-flash-preview;20.944;0.0;0.0;3232;7;0.0;0.33;Dürfen Cheerleader das Feld betreten, während der Kicker sich beim Timeout aufwärmt?;Dazu habe ich keine Informationen.;Dazu habe ich keine Informationen.;"SECTION 1 PROCEDURES FOR A FREE KICK
ARTICLE 1. FR...";1.0
204;Regulatory Constraints;llama3.3:70b;1.679;0.055;1.411;419;43;7650.46;30.47;Es regnet stark und der Ball ist nass. Darf die Offense den Ball tauschen?;Ja, in einem solchen Fall darf die Offense den Ball tauschen, wenn sie das verlangt. Der Tausch erfolgt auf Anfrage des Centers der Offensive-Mannschaft.;Ja, bei nassem oder schlammigem Wetter darf auf Anfrage des Centers ein spielbarer (trockener) Ball verwendet werden. Die Uhr wird dafür aber nicht angehalten.;"SECTION 2 SUPPLY
Each team will make 12 primary, 1...";1.0
1503;Reasoning & Synthesis;llama3.1:8b;1.08;0.087;0.323;789;51;9024.91;157.86;Wie viele Timeouts hat ein Team noch, wenn eine Challenge erfolgreich war?;Ein Team erhält nach einer erfolgreichen Challenge einen dritten Challenge. Es wird jedoch nicht erwähnt, dass es dadurch auch mehr Timeouts erhält. Die Anzahl der verfügbaren Timeouts bleibt also unverändert.;Nur wenn eine Challenge erfolglos war, wird ein Timeout abgezogen. Wenn eine Challenge erfolgreich war, bleibt die Anzahl der Timeouts gleich.;"SECTION 1 INITIATING A REPLAY REVIEW
ARTICLE 1. CO...";0.0
